Distance_(pixels),Gray_Value
0,231.407
1,232.037
2,232.667
3,232.556
4,231.963
5,231.111
6,230.630
7,229.704
8,237.037
9,221.185
10,89.296
11,31.593
12,20.222
13,23.259
14,19.630
15,21.111
16,21.370
17,22.963
18,19.370
19,28.519
20,59.519
21,195.778
22,246.222
23,234.111
24,231.815
25,231.815
26,232.407
27,232.444
28,232.037
29,230.370
30,236.222
31,244.296
32,183.185
33,51.741
34,21.963
35,19.296
36,19.111
37,20.630
38,20.852
39,23.000
40,19.926
41,22.037
42,37.778
43,111.926
44,229.852
45,240.889
46,234.556
47,233.333
48,234.556
49,234.815
50,234.185
51,233.370
52,235.000
53,242.185
54,236.926
55,124.333
56,40.926
57,21.185
58,18.704
59,22.556
60,22.259
61,22.259
62,24.222
63,26.444
64,24.296
65,52.778
66,179.259
67,247.519
68,241.889
69,236.148
70,236.778
71,237.815
72,237.407
