Distance_(pixels),Gray_Value,,black values,,,,white space,
0,231.407,,31.593,21.963,40.926,,59.519,111.926
1,232.037,,20.222,19.296,21.185,,195.778,229.852
2,232.667,,23.259,19.111,18.704,,246.222,240.889
3,232.556,,19.63,20.63,22.556,,234.111,234.556
4,231.963,,21.111,20.852,22.259,,231.815,233.333
5,231.111,,21.37,23,22.259,,231.815,234.556
6,230.63,,22.963,19.926,24.222,,232.407,234.815
7,229.704,,19.37,22.037,26.444,,232.444,234.185
8,237.037,,28.519,37.778,24.296,,232.037,233.37
9,221.185,,r11 - r19,r34 - r42,r56 - r64,,230.37,235
10,89.296,,23.11522222,22.73255556,24.76122222,,236.222,242.185
11,31.593,,,,,,244.296,236.926
12,20.222,,,23.53633333,,,183.185,124.333
13,23.259,,,,,,51.741,
14,19.63,,,,,,r20 - r33,r43 - r55
15,21.111,,,,,,,
16,21.37,,,,,,209.9217778,
17,22.963,,,,,,,
18,19.37,,,,,,,
19,28.519,,,,,,,
20,59.519,,,,,,,
21,195.778,,,,,,,
22,246.222,,,,,,,
23,234.111,,,,,,,
24,231.815,,,,,,,
25,231.815,,,,,,,
26,232.407,,,,,,,
27,232.444,,,,,,,
28,232.037,,,,,,,
29,230.37,,,,,,,
30,236.222,,,,,,,
31,244.296,,,,,,,
32,183.185,,,,,,,
33,51.741,,,,,,,
34,21.963,,,,,,,
35,19.296,,,,,,,
36,19.111,,,,,,,
37,20.63,,,,,,,
38,20.852,,,,,,,
39,23,,,,,,,
40,19.926,,,,,,,
41,22.037,,,,,,,
42,37.778,,,,,,,
43,111.926,,,,,,,
44,229.852,,,,,,,
45,240.889,,,,,,,
46,234.556,,,,,,,
47,233.333,,,,,,,
48,234.556,,,,,,,
49,234.815,,,,,,,
50,234.185,,,,,,,
51,233.37,,,,,,,
52,235,,,,,,,
53,242.185,,,,,,,
54,236.926,,,,,,,
55,124.333,,,,,,,
56,40.926,,,,,,,
57,21.185,,,,,,,
58,18.704,,,,,,,
59,22.556,,,,,,,
60,22.259,,,,,,,
61,22.259,,,,,,,
62,24.222,,,,,,,
63,26.444,,,,,,,
64,24.296,,,,,,,
65,52.778,,,,,,,
66,179.259,,,,,,,
67,247.519,,,,,,,
68,241.889,,,,,,,
69,236.148,,,,,,,
70,236.778,,,,,,,
71,237.815,,,,,,,
72,237.407,,,,,,,
