Distance_(pixels),Gray_Value,,black values,,,,white values,
0,239.143,,62.286,66.714,65.857,,95,160.143
1,245.286,,,59,,,234.429,245.857
2,228.143,,,,,,240,249.429
3,101.429,,,63.46425,,,199.857,149.429
4,62.286,,,,,,,
5,95,,,,,,196.768,
6,234.429,,,,,,,
7,240,,,,,,,
8,199.857,,,,,,,
9,66.714,,,,,,,
10,59,,,,,,,
11,160.143,,,,,,,
12,245.857,,,,,,,
13,249.429,,,,,,,
14,149.429,,,,,,,
15,65.857,,,,,,,
16,78,,,,,,,
17,215,,,,,,,
18,243.429,,,,,,,
19,241.857,,,,,,,
20,238,,,,,,,
