Distance_(pixels),Gray_Value,,Gray_Value,Max value,,row of max value
750,18.999,,0.274774384,69.144,,337
751,19.053,,0.275555363,69.144,,
752,19.31,,0.279272243,,,
753,19.4,,0.280573875,,,
754,19.519,,0.282294921,,,
755,19.452,,0.281325928,,,
756,20.26,,0.293011686,,,
757,20.547,,0.297162444,,,
758,20.763,,0.300286359,,,
759,20.568,,0.297466158,,,
760,20.751,,0.300112808,,,
761,20.975,,0.303352424,,,
762,21.381,,0.309224228,,,
763,21.738,,0.314387365,,,
764,21.971,,0.317757145,,,
765,22.401,,0.32397605,,,
766,23.043,,0.33326102,,,
767,23.302,,0.337006826,,,
768,23.603,,0.34136006,,,
769,23.515,,0.340087354,,,
770,23.736,,0.343283582,,,
771,23.843,,0.344831077,,,
772,24.268,,0.35097767,,,
773,24.647,,0.356458984,,,
774,25.057,,0.362388638,,,
775,25.446,,0.368014578,,,
776,26.141,,0.378066065,,,
777,26.833,,0.388074164,,,
778,27.333,,0.395305449,,,
779,27.922,,0.403823904,,,
780,28.894,,0.417881523,,,
781,29.616,,0.428323499,,,
782,30.247,,0.437449381,,,
783,30.806,,0.445533958,,,
784,31.772,,0.459504802,,,
785,33.072,,0.478306144,,,
786,34.335,,0.496572371,,,
787,35.225,,0.509444059,,,
788,36.007,,0.520753789,,,
789,36.987,,0.534927109,,,
790,38.307,,0.554017702,,,
791,39.606,,0.572804582,,,
792,40.784,,0.58984149,,,
793,41.87,,0.605547842,,,
794,42.936,,0.620964943,,,
795,43.996,,0.636295268,,,
796,45.245,,0.654359019,,,
797,46.397,,0.6710199,,,
798,47.285,,0.683862663,,,
799,48.267,,0.698064908,,,
800,49.235,,0.712064677,,,
801,50.145,,0.725225616,,,
802,51.003,,0.737634502,,,
803,51.728,,0.748119866,,,
804,52.746,,0.762842763,,,
805,53.286,,0.770652551,,,
806,53.712,,0.776813606,,,
807,53.984,,0.780747426,,,
808,54.255,,0.784666782,,,
809,54.436,,0.787284508,,,
810,54.71,,0.791247252,,,
811,54.809,,0.792679047,,,
812,54.809,,0.792679047,,,
813,54.584,,0.789424968,,,
814,54.431,,0.787212195,,,
815,54.322,,0.785635775,,,
816,54.131,,0.782873424,,,
817,54.088,,0.782251533,,,
818,53.999,,0.780964364,,,
819,54.08,,0.782135832,,,
820,53.709,,0.776770219,,,
821,53.356,,0.771664931,,,
822,52.909,,0.765200162,,,
823,52.569,,0.760282888,,,
824,52.027,,0.752444174,,,
825,51.647,,0.746948398,,,
826,51.308,,0.742045586,,,
827,51.085,,0.738820433,,,
828,50.624,,0.732153188,,,
829,50.153,,0.725341317,,,
830,49.626,,0.717719542,,,
831,48.982,,0.708405646,,,
832,48.383,,0.699742566,,,
833,47.894,,0.692670369,,,
834,47.436,,0.686046512,,,
835,46.902,,0.678323499,,,
836,46.417,,0.671309152,,,
837,45.842,,0.662993174,,,
838,45.277,,0.654821821,,,
839,45.11,,0.652406572,,,
840,45.073,,0.651871457,,,
841,44.911,,0.64952852,,,
842,44.729,,0.646896332,,,
843,44.36,,0.641559644,,,
844,44.115,,0.638016314,,,
845,43.496,,0.629063982,,,
846,43.205,,0.624855374,,,
847,43.08,,0.623047553,,,
848,42.866,,0.619952563,,,
849,42.931,,0.62089263,,,
850,43.233,,0.625260326,,,
851,43.444,,0.628311929,,,
852,43.411,,0.627834664,,,
853,42.927,,0.62083478,,,
854,42.645,,0.616756335,,,
855,42.761,,0.618433993,,,
856,42.911,,0.620603378,,,
857,42.966,,0.62139882,,,
858,42.9,,0.62044429,,,
859,42.951,,0.621181881,,,
860,42.858,,0.619836862,,,
861,43.062,,0.622787227,,,
862,42.98,,0.621601296,,,
863,42.643,,0.616727409,,,
864,42.415,,0.613429943,,,
865,42.735,,0.618057966,,,
866,43.201,,0.624797524,,,
867,43.682,,0.631754021,,,
868,43.558,,0.629960662,,,
869,43.324,,0.62657642,,,
870,43.097,,0.623293417,,,
871,43.245,,0.625433877,,,
872,43.194,,0.624696286,,,
873,43.382,,0.627415249,,,
874,43.613,,0.630756103,,,
875,44.05,,0.637076247,,,
876,43.838,,0.634010182,,,
877,43.554,,0.629902812,,,
878,43.556,,0.629931737,,,
879,43.84,,0.634039107,,,
880,43.524,,0.629468934,,,
881,43.53,,0.62955571,,,
882,43.593,,0.630466852,,,
883,44.02,,0.63664237,,,
884,44.09,,0.63765475,,,
885,44.087,,0.637611362,,,
886,44.084,,0.637567974,,,
887,44.563,,0.644495546,,,
888,44.588,,0.64485711,,,
889,44.75,,0.647200046,,,
890,45.029,,0.651235104,,,
891,45.39,,0.656456092,,,
892,45.333,,0.655631725,,,
893,45.492,,0.657931274,,,
894,45.46,,0.657468472,,,
895,45.539,,0.658611015,,,
896,45.341,,0.655747426,,,
897,45.28,,0.654865209,,,
898,45.312,,0.655328011,,,
899,46.073,,0.666334028,,,
900,46.43,,0.671497165,,,
901,46.369,,0.670614949,,,
902,46.026,,0.665654287,,,
903,46.34,,0.670195534,,,
904,46.596,,0.673897952,,,
905,46.806,,0.676935092,,,
906,46.802,,0.676877242,,,
907,47.02,,0.680030082,,,
908,46.812,,0.677021867,,,
909,46.795,,0.676776004,,,
910,46.646,,0.674621081,,,
911,46.782,,0.67658799,,,
912,47.039,,0.680304871,,,
913,47.62,,0.688707625,,,
914,47.729,,0.690284045,,,
915,47.975,,0.693841837,,,
916,47.71,,0.690009256,,,
917,47.753,,0.690631147,,,
918,47.739,,0.690428671,,,
919,47.817,,0.691556751,,,
920,47.507,,0.687073354,,,
921,47.901,,0.692771607,,,
922,48.498,,0.701405762,,,
923,48.927,,0.707610205,,,
924,48.549,,0.702143353,,,
925,48.067,,0.695172394,,,
926,47.959,,0.693610436,,,
927,48.391,,0.699858267,,,
928,48.442,,0.700595858,,,
929,48.485,,0.701217748,,,
930,48.491,,0.701304524,,,
931,48.522,,0.701752864,,,
932,48.867,,0.706742451,,,
933,48.814,,0.705975934,,,
934,48.442,,0.700595858,,,
935,48.251,,0.697833507,,,
936,48.127,,0.696040148,,,
937,48.258,,0.697934745,,,
938,48.367,,0.699511165,,,
939,48.57,,0.702447067,,,
940,48.438,,0.700538008,,,
941,48.34,,0.699120676,,,
942,48.305,,0.698614486,,,
943,48.703,,0.704370589,,,
944,48.812,,0.705947009,,,
945,48.633,,0.703358209,,,
946,48.236,,0.697616568,,,
947,48.263,,0.698007058,,,
