Distance_(pixels),Gray_Value,,intensity,,Max value,,Row of Max,,y,x
900,6.6337,,0.364996396,,18.1747,,256,,578.6307261,
901,6.6997,,0.368627818,,18.1747,,,,578.6307433,
902,7.0475,,0.38776431,,,,,,578.6308338,
903,7.3559,,0.404732953,,y=0.0047291x + 578.629,,,,578.630914,
904,7.343,,0.404023175,,,,,,578.6309107,
905,7.0588,,0.388386053,,0.0047291,,,,578.6308367,
906,6.8382,,0.376248301,,,,,,578.6307793,
907,6.7842,,0.373277138,,578.629,,,,578.6307653,
908,6.975,,0.383775248,,,,,,578.6308149,
909,6.9493,,0.382361194,,,,,,578.6308082,
910,6.9388,,0.381783468,,,,,,578.6308055,
911,6.9694,,0.383467127,,,,,,578.6308135,
912,6.9734,,0.383687214,,,,,,578.6308145,
913,6.9493,,0.382361194,,,,,,578.6308082,
914,6.8945,,0.379346014,,,,,,578.630794,
915,6.8728,,0.378152047,,,,,,578.6307883,
916,7.3277,,0.403181345,,,,,,578.6309067,
917,7.3953,,0.406900802,,,,,,578.6309243,
918,7.6014,,0.418240741,,,,,,578.6309779,
919,7.715,,0.424491188,,,,,,578.6310075,
920,7.7399,,0.425861225,,,,,,578.6310139,
921,7.8124,,0.429850286,,,,,,578.6310328,
922,7.7778,,0.427946541,,,,,,578.6310238,
923,7.7448,,0.42613083,,,,,,578.6310152,
924,7.7617,,0.427060694,,,,,,578.6310196,
925,7.868,,0.432909484,,,,,,578.6310473,
926,7.93,,0.43632082,,,,,,578.6310634,
927,7.8285,,0.430736133,,,,,,578.631037,
928,7.7101,,0.424221583,,,,,,578.6310062,
929,7.6119,,0.418818467,,,,,,578.6309806,
930,7.4622,,0.410581743,,,,,,578.6309417,
931,7.2593,,0.399417872,,,,,,578.6308889,
932,7.1176,,0.39162132,,,,,,578.630852,
933,6.8921,,0.379213962,,,,,,578.6307933,
934,6.7512,,0.371461427,,,,,,578.6307567,
935,6.8921,,0.379213962,,,,,,578.6307933,
936,7.0419,,0.387456189,,,,,,578.6308323,
937,7.1184,,0.391665337,,,,,,578.6308522,
938,7.2182,,0.397156487,,,,,,578.6308782,
939,7.3478,,0.404287278,,,,,,578.6309119,
940,7.7609,,0.427016677,,,,,,578.6310194,
941,7.9895,,0.439594601,,,,,,578.6310789,
942,8.1433,,0.448056914,,,,,,578.6311189,
943,8.2271,,0.452667719,,,,,,578.6311407,
944,8.5709,,0.471584125,,,,,,578.6312302,
945,9.3148,,0.512514649,,,,,,578.6314237,
946,10.1449,,0.558188031,,,,,,578.6316397,
947,11.5089,,0.633237412,,,,,,578.6319946,
948,12.9098,,0.710317089,,,,,,578.6323592,
949,13.6103,,0.748859679,,,,,,578.6325414,
950,13.8969,,0.764628852,,,,,,578.632616,
951,13.5628,,0.746246155,,,,,,578.6325291,
952,12.1578,,0.66894089,,,,,,578.6321635,
953,11.3366,,0.623757201,,,,,,578.6319498,
954,10.8712,,0.598150176,,,,,,578.6318287,
955,10.2697,,0.565054719,,,,,,578.6316722,
956,9.8744,,0.543304704,,,,,,578.6315693,
957,9.5072,,0.523100794,,,,,,578.6314738,
958,9.2738,,0.510258766,,,,,,578.6314131,
959,9.1844,,0.505339841,,,,,,578.6313898,
960,9.0169,,0.496123732,,,,,,578.6313462,
961,8.8704,,0.488063077,,,,,,578.6313081,
962,8.9895,,0.494616142,,,,,,578.6313391,
963,9.0725,,0.49918293,,,,,,578.6313607,
964,9.3156,,0.512558667,,,,,,578.6314239,
965,9.3454,,0.514198309,,,,,,578.6314317,
966,9.2407,,0.508437553,,,,,,578.6314045,
967,9.1522,,0.503568147,,,,,,578.6313814,
968,8.8035,,0.484382136,,,,,,578.6312907,
969,8.3961,,0.46196636,,,,,,578.6311847,
970,8.12,,0.446774912,,,,,,578.6311128,
971,7.9227,,0.435919162,,,,,,578.6310615,
972,8.0097,,0.440706036,,,,,,578.6310841,
973,7.8462,,0.431710014,,,,,,578.6310416,
974,7.5636,,0.416160927,,,,,,578.6309681,
975,7.2907,,0.401145548,,,,,,578.6308971,
976,7.1586,,0.393877203,,,,,,578.6308627,
977,7.3406,,0.403891123,,,,,,578.63091,
978,7.6087,,0.418642398,,,,,,578.6309798,
979,7.7375,,0.425729173,,,,,,578.6310133,
980,8.0515,,0.443005937,,,,,,578.631095,
981,7.8986,,0.434593143,,,,,,578.6310552,
982,7.9291,,0.4362713,,,,,,578.6310632,
983,7.9952,,0.439908224,,,,,,578.6310804,
984,8.0974,,0.445531426,,,,,,578.631107,
985,8.0974,,0.445531426,,,,,,578.631107,
986,7.9799,,0.439066394,,,,,,578.6310764,
987,7.7746,,0.427770472,,,,,,578.631023,
988,7.8994,,0.43463716,,,,,,578.6310554,
989,7.8172,,0.43011439,,,,,,578.6310341,
990,7.5443,,0.415099011,,,,,,578.630963,
991,7.2013,,0.396226623,,,,,,578.6308738,
992,6.8913,,0.379169945,,,,,,578.6307931,
993,6.9308,,0.381343296,,,,,,578.6308034,
994,7.1651,,0.394234843,,,,,,578.6308644,
995,7.3446,,0.40411121,,,,,,578.6309111,
996,7.7158,,0.424535206,,,,,,578.6310077,
997,7.7842,,0.428298679,,,,,,578.6310255,
998,7.7738,,0.427726455,,,,,,578.6310228,
999,7.6127,,0.418862485,,,,,,578.6309808,
1000,7.3003,,0.401673755,,,,,,578.6308996,
1001,7.1063,,0.390999576,,,,,,578.6308491,
1002,7.1288,,0.392237561,,,,,,578.6308549,
1003,7.1329,,0.392463149,,,,,,578.630856,
1004,7.7923,,0.428744353,,,,,,578.6310276,
1005,7.9211,,0.435831128,,,,,,578.6310611,
1006,7.9493,,0.437382735,,,,,,578.6310684,
