Distance_(pixels),Gray_Value,,Gray_Value,,Max Value,,Row of max value
700,11.511,,0.373758036,,30.798,,384
701,11.762,,0.381907916,,30.798,,
702,11.959,,0.388304435,,,,
703,11.947,,0.3879148,,,,
704,11.985,,0.389148646,,,,
705,12.15,,0.394506137,,,,
706,12.208,,0.396389376,,,,
707,11.973,,0.38875901,,,,
708,11.958,,0.388271966,,,,
709,12.159,,0.394798364,,,,
710,12.488,,0.405480875,,,,
711,12.538,,0.407104357,,,,
712,12.508,,0.406130268,,,,
713,12.481,,0.405253588,,,,
714,12.513,,0.406292616,,,,
715,12.641,,0.41044873,,,,
716,12.76,,0.414312618,,,,
717,12.732,,0.413403468,,,,
718,12.624,,0.409896747,,,,
719,12.456,,0.404441847,,,,
720,12.333,,0.400448081,,,,
721,12.248,,0.397688162,,,,
722,12.919,,0.419475291,,,,
723,13.145,,0.426813429,,,,
724,13.262,,0.430612377,,,,
725,13.196,,0.428469381,,,,
726,13.057,,0.423956101,,,,
727,12.815,,0.416098448,,,,
728,12.67,,0.41139035,,,,
729,12.669,,0.41135788,,,,
730,13.04,,0.423404117,,,,
731,13.127,,0.426228976,,,,
732,13.246,,0.430092863,,,,
733,13.334,,0.432950192,,,,
734,13.54,,0.439638938,,,,
735,13.506,,0.43853497,,,,
736,13.651,,0.443243068,,,,
737,13.792,,0.447821287,,,,
738,14.234,,0.462172868,,,,
739,14.121,,0.458503799,,,,
740,14.17,,0.460094811,,,,
741,14.193,,0.460841613,,,,
742,14.23,,0.46204299,,,,
743,14.019,,0.455191896,,,,
744,13.993,,0.454347685,,,,
745,14.074,,0.456977726,,,,
746,14.181,,0.460451977,,,,
747,14.214,,0.461523476,,,,
748,14.439,,0.468829145,,,,
749,14.615,,0.474543802,,,,
750,14.793,,0.480323398,,,,
751,14.75,,0.478927203,,,,
752,14.854,,0.482304046,,,,
753,14.956,,0.485615949,,,,
754,15.093,,0.49006429,,,,
755,15.061,,0.489025261,,,,
756,15.233,,0.49461004,,,,
757,15.301,,0.496817975,,,,
758,15.553,,0.505000325,,,,
759,15.921,,0.516949153,,,,
760,16.261,,0.52798883,,,,
761,16.373,,0.53162543,,,,
762,16.538,,0.536982921,,,,
763,16.265,,0.528118709,,,,
764,16.104,,0.522891097,,,,
765,16.112,,0.523150854,,,,
766,16.435,,0.533638548,,,,
767,16.627,,0.539872719,,,,
768,16.76,,0.544191181,,,,
769,16.745,,0.543704137,,,,
