SPEED,INTENT
 57.0,1
 65.0,2
 60.0,1
 62.0,2
 61.0,1
 70.0,2
 57.0,1
 58.0,1
 66.0,2
 57.0,1
 63.0,1
 51.0,0
 61.0,1
 74.0,2
 61.0,2
 57.0,1
 59.0,1
 62.0,1
 79.0,2
 75.0,2
 64.0,1
 70.0,2
 71.0,2
 67.0,2
 75.0,2
 59.0,1
 68.0,2
 57.0,1
 70.0,2
 55.0,0
 56.0,1
 56.0,1
 58.0,1
 71.0,2
 68.0,2
 69.0,2
 69.0,2
 60.0,1
 63.0,2
 57.0,1
 61.0,2
 73.0,2
 70.0,2
 62.0,2
 57.0,1
 57.0,1
 62.0,1
 58.0,1
 68.0,2
 53.0,1
 57.0,1
 60.0,1
 57.0,1
 54.0,1
 67.0,2
 59.0,1
 69.0,2
 69.0,2
 77.0,2
 62.0,1
 58.0,1
 59.0,1
 66.0,2
 61.0,2
 66.0,2
 63.0,2
 69.0,2
 65.0,2
 56.0,1
 55.0,1
 58.0,1
 53.0,0
 69.0,2
 66.0,2
 58.0,1
 58.0,1
 68.0,2
 64.0,2
 57.0,1
 56.0,1
 62.0,1
 58.0,1
 54.0,1
 60.0,1
 59.0,1
 73.0,2
 61.0,1
 59.0,1
 61.0,1
 65.0,2
 55.0,0
 54.0,1
 58.0,1
 61.0,1
 58.0,1
 59.0,1
 59.0,0
 69.0,2
 55.0,1
 58.0,0
 65.0,2
 63.0,1
 70.0,2
 65.0,2
 59.0,1
 53.0,1
 58.0,1
 70.0,2
 64.0,2
 54.0,0
 63.0,2
 53.0,1
 62.0,1
 70.0,2
 57.0,1
 62.0,1
 66.0,2
 52.0,0
 62.0,1
 64.0,1
 62.0,1
 54.0,1
 61.0,1
 64.0,2
 60.0,1
 58.0,1
 54.0,0
 60.0,1
 63.0,1
 75.0,2
 62.0,1
 69.0,2
 60.0,1
 61.0,0
 66.0,2
 51.0,1
 60.0,1
 71.0,2
 59.0,1
 56.0,0
 57.0,1
 61.0,1
 61.0,1
 71.0,2
 63.0,1
 58.0,2
 61.0,1
 59.0,1
 57.0,0
 63.0,1
 61.0,2
 76.0,2
 63.0,2
 61.0,1
 66.0,2
 65.0,1
 59.0,1
 61.0,1
 61.0,1
 67.0,2
 62.0,0
 67.0,2
 51.0,0
 66.0,2
 61.0,1
 77.0,2
 60.0,1
 67.0,2
 59.0,1
 69.0,2
 59.0,1
 55.0,1
 59.0,0
 62.0,1
 60.0,1
 70.0,2
 73.0,2
 68.0,2
 65.0,1
 66.0,2
 58.0,1
 58.0,1
 58.0,0
 72.0,2
 66.0,2
 63.0,2
 63.0,2
 57.0,0
 70.0,2
 60.0,1
 68.0,2
 62.0,1
 57.0,2
 68.0,2
 57.0,1
 63.0,1
 60.0,1
 64.0,2
 61.0,1
 67.0,2
 57.0,1
 60.0,1
 59.0,1
 68.0,2
 70.0,2
 71.0,2
 61.0,2
 61.0,1
 66.0,2
 63.0,2
 64.0,1
 57.0,1
 55.0,1
 56.0,1
 64.0,1
 67.0,2
 71.0,2
 58.0,1
 60.0,1
 63.0,1
 54.0,1
 74.0,2
 59.0,1
 59.0,1
 55.0,1
 53.0,1
 65.0,2
 57.0,1
 60.0,1
 69.0,2
 58.0,1
 61.0,1
 57.0,1
 59.0,1
 71.0,2
 61.0,2
 60.0,1
 55.0,1
 58.0,1
 63.0,2
 62.0,1
 58.0,0
 56.0,1
 53.0,0
 56.0,1
 56.0,1
 60.0,2
 59.0,1
 61.0,1
 65.0,2
 64.0,2
 62.0,1
 57.0,1
 65.0,2
 65.0,2
 59.0,2
 60.0,1
 54.0,1
 56.0,1
 67.0,2
 55.0,0
 71.0,2
 66.0,2
 59.0,1
 60.0,2
 65.0,2
 57.0,1
 60.0,1
 57.0,1
 80.0,2
 52.0,1
 61.0,1
 72.0,2
 62.0,1
 75.0,2
 70.0,2
 57.0,1
 56.0,2
 57.0,2
 70.0,2
 59.0,1
 55.0,1
 60.0,1
 49.0,0
 59.0,1
 62.0,1
 60.0,1
 61.0,1
 61.0,1
 58.0,1
 72.0,2
 57.0,1
 56.0,1
 73.0,2
 71.0,2
 70.0,2
 59.0,1
 54.0,0
 70.0,2
 65.0,1
 58.0,1
 58.0,1
 54.0,1
 58.0,1
 62.0,1
 55.0,1
 62.0,1
 64.0,1
 55.0,1
 56.0,1
 56.0,1
 72.0,2
 66.0,2
 51.0,0
 62.0,1
 66.0,2
 65.0,2
 64.0,1
 71.0,2
 58.0,1
 61.0,1
 61.0,1
 60.0,1
 67.0,2
 58.0,1
 75.0,2
 53.0,1
 59.0,0
 78.0,2
 63.0,1
 70.0,2
 60.0,2
 63.0,2
 62.0,1
 59.0,1
 70.0,2
 54.0,1
 74.0,2
 54.0,1
 69.0,2
 60.0,0
 60.0,1
 54.0,1
 63.0,2
 71.0,2
 62.0,1
 59.0,1
 59.0,1
 60.0,1
 60.0,1
 64.0,1
 56.0,1
 57.0,1
 59.0,1
 59.0,1
 63.0,1
 65.0,2
 60.0,1
 69.0,2
 59.0,1
 58.0,1
 60.0,1
 61.0,2
 69.0,2
 60.0,1
 68.0,2
 70.0,2
 59.0,1
 61.0,1
 61.0,1
 51.0,0
 61.0,1
 61.0,1
 60.0,2
 70.0,2
 69.0,2
 69.0,2
 70.0,2
 72.0,2
 56.0,1
 71.0,2
 69.0,2
 54.0,1
 67.0,2
 71.0,2
 62.0,1
 56.0,1
 61.0,1
 55.0,1
 58.0,1
 67.0,2
 58.0,1
 63.0,1
 54.0,0
 55.0,1
 67.0,2
 69.0,2
 63.0,1
 61.0,1
 61.0,2
 71.0,2
 60.0,1
 70.0,2
 70.0,2
 56.0,1
 58.0,0
 66.0,2
 60.0,1
 64.0,1
 51.0,0
 59.0,1
 66.0,2
 60.0,1
 59.0,2
 51.0,0
 53.0,1
 63.0,2
 55.0,1
 70.0,2
 66.0,2
 60.0,1
 60.0,1
 56.0,1
 68.0,1
 61.0,1
 64.0,2
 66.0,2
 59.0,1
 58.0,1
 57.0,1
 71.0,2
 59.0,2
 64.0,2
 59.0,1
 58.0,1
 59.0,2
 69.0,2
 62.0,1
 60.0,1
 78.0,2
 58.0,1
 54.0,1
 65.0,2
 56.0,1
 60.0,1
 53.0,0
 59.0,1
 55.0,1
 57.0,1
 64.0,1
 66.0,2
 59.0,1
 70.0,2
 57.0,1
 63.0,1
 53.0,0
 67.0,2
 70.0,2
 70.0,2
 54.0,0
 65.0,2
 65.0,2
 62.0,1
 66.0,1
 66.0,2
 69.0,2
 65.0,2
 73.0,2
 48.0,0
 54.0,1
 59.0,1
 64.0,1
 50.0,0
 62.0,1
 63.0,1
 60.0,1
 73.0,2
 57.0,1
 57.0,1
 62.0,2
 63.0,1
 50.0,0
 68.0,2
 65.0,2
 68.0,2
 58.0,1
 64.0,1
 74.0,2
 72.0,2
 63.0,1
 68.0,2
 58.0,1
 72.0,2
 65.0,2
 62.0,1
 73.0,2
 58.0,1
 51.0,0
 75.0,2
 69.0,2
 58.0,1
 61.0,1
 58.0,1
 68.0,2
 69.0,2
 57.0,1
 60.0,1
 56.0,1
 56.0,1
 61.0,1
 70.0,2
 62.0,1
 75.0,2
 63.0,1
 68.0,2
 74.0,2
 70.0,2
 65.0,2
 54.0,1
 62.0,1
 65.0,2
 62.0,0
 75.0,2
 72.0,2
 59.0,1
 54.0,0
 59.0,1
 68.0,2
 64.0,1
 58.0,1
 57.0,1
 57.0,1
 77.0,2
 59.0,1
 66.0,1
 62.0,1
 58.0,1
 70.0,2
 57.0,1
 77.0,2
 59.0,1
 57.0,1
 60.0,1
 56.0,1
 57.0,0
 69.0,2
 61.0,1
 71.0,2
 56.0,1
 59.0,1
 68.0,2
 62.0,2
 60.0,2
 60.0,1
 71.0,2
 57.0,1
 63.0,1
 73.0,2
 60.0,1
 61.0,1
 52.0,1
 69.0,2
 59.0,1
 67.0,2
 60.0,0
 79.0,2
 62.0,1
 67.0,2
 61.0,1
 61.0,1
 63.0,1
 54.0,1
 58.0,1
 53.0,0
 66.0,2
 58.0,1
 60.0,1
 61.0,1
 59.0,2
 61.0,1
 56.0,0
 59.0,1
 61.0,2
