SPEED,INTENT
 54.4,0
 65.5,2
 55.8,1
 61.9,2
 55.7,1
 70.1,2
 60.4,1
 56.6,1
 66.4,2
 62.0,1
 50.9,0
 61.2,1
 54.5,1
 73.6,2
 60.8,2
 60.8,1
 56.4,1
 59.2,1
 79.0,2
 75.1,2
 55.3,1
 70.4,2
 71.3,2
 67.1,2
 74.7,2
 57.9,1
 67.8,2
 57.9,1
 70.2,2
 58.3,1
 57.3,1
 62.1,1
 55.4,1
 70.9,2
 68.0,2
 68.5,2
 69.3,2
 52.7,0
 62.7,2
 57.8,1
 61.4,2
 73.4,2
 69.6,2
 61.8,2
 59.6,1
 58.9,1
 62.9,1
 60.6,1
 67.6,2
 57.1,1
 62.1,1
 61.8,1
 59.5,1
 58.6,1
 67.3,2
 56.1,1
 69.0,2
 69.2,2
 76.5,2
 66.4,1
 61.0,1
 61.5,1
 66.0,2
 60.9,2
 66.2,2
 62.6,2
 69.1,2
 64.8,2
 61.8,0
 57.4,1
 61.0,1
 55.6,1
 68.9,2
 65.8,2
 56.3,1
 59.9,1
 68.0,2
 63.7,2
 57.5,0
 56.8,1
 60.7,1
 58.4,0
 58.6,1
 56.0,1
 59.6,1
 73.0,2
 56.2,1
 61.1,1
 57.2,1
 64.6,2
 58.7,1
 51.3,0
 61.4,1
 58.0,1
 56.4,1
 60.1,1
 58.2,1
 68.6,2
 54.3,1
 56.5,1
 64.8,2
 58.3,1
 70.2,2
 64.8,2
 58.3,1
 60.5,1
 61.7,1
 70.3,2
 63.8,2
 61.0,1
 63.1,2
 53.3,0
 50.0,0
 69.6,2
 59.3,1
 49.7,0
 65.5,2
 55.8,1
 54.0,1
 60.3,1
 61.7,1
 55.3,1
 54.6,0
 64.4,2
 60.4,1
 56.5,1
 55.9,1
 62.4,1
 61.1,1
 74.8,2
 62.7,1
 69.3,2
 61.4,1
 55.7,1
 66.3,2
 53.3,1
 62.0,1
 70.6,2
 57.1,1
 61.4,1
 61.2,1
 60.9,1
 60.1,1
 70.9,2
 59.0,1
 58.1,2
 62.6,1
 62.7,1
 56.6,1
 59.4,1
 61.1,2
 75.7,2
 63.1,2
 60.9,1
 65.5,2
 58.4,1
 64.1,1
 53.8,1
 58.6,0
 67.1,2
 55.9,1
 67.2,2
 59.3,1
 66.0,2
 62.9,1
 77.3,2
 47.5,0
 66.8,2
 55.1,1
 69.2,2
 56.0,1
 57.8,1
 58.9,1
 61.5,1
 63.1,1
 70.1,2
 72.7,2
 68.4,2
 59.8,1
 66.5,2
 62.1,1
 56.1,1
 59.9,1
 72.0,2
 66.1,2
 62.8,2
 63.2,2
 60.3,1
 70.3,2
 60.2,1
 68.3,2
 59.3,1
 56.6,2
 67.6,2
 59.0,1
 58.2,1
 53.6,0
 64.0,2
 59.8,1
 67.2,2
 58.3,1
 53.8,0
 60.9,1
 67.6,2
 69.8,2
 71.1,2
 61.1,2
 54.1,0
 65.6,2
 63.2,2
 61.3,1
 58.7,1
