RecID,Brightness,Weight,Precip,LaneChanges,Speed,PulledOver
R3023081,2,6,3,1,60.4,y
R2027085,8,3,4,1,58.9,n
R3046896,1,2,0,0,58.7,y
R1134239,1,7,5,1,60.5,n
R6143325,9,10,5,2,60.0,n
R1052855,5,4,5,0,55.4,n
R5035737,1,6,0,1,60.2,y
R5060249,8,1,2,0,56.9,y
R1051172,2,3,3,1,59.2,y
R5046543,9,5,3,1,58.5,y
R3108476,4,6,4,2,57.2,n
R2038589,1,9,0,2,60.0,n
R3144015,10,5,4,3,60.7,n
R5020722,7,5,1,2,62.9,y
R3049886,9,9,2,0,60.8,y
R1047825,6,6,4,3,58.8,n
R3040545,1,3,3,1,59.3,n
R2020987,5,6,2,2,58.5,y
R5116285,8,5,4,3,59.3,n
R2142297,1,1,4,2,61.3,n
R4017097,9,3,4,1,55.4,n
R2018210,7,2,1,2,60.4,y
R6050777,0,4,5,0,56.2,n
R0019458,7,5,5,0,60.8,n
R1057601,9,9,3,0,59.3,y
R5037591,5,6,1,2,59.1,y
R6135263,8,9,4,2,60.5,n
R6033449,4,4,2,0,62.0,y
R3042633,9,3,1,1,58.8,n
R5095636,2,3,4,2,58.8,n
R5086701,0,9,4,1,56.6,n
R2151271,2,9,5,3,62.5,n
R3024608,0,9,2,3,61.0,y
R3025041,6,7,3,2,60.3,y
R6029879,3,5,4,1,60.9,n
R2047657,7,6,2,2,61.8,y
R1101329,3,6,5,2,60.9,n
R1119971,4,5,4,1,60.2,n
R6061931,6,8,7,0,59.4,n
R4013731,4,6,0,1,61.6,y
R5019220,1,4,2,1,64.0,y
R5031713,6,2,0,2,62.9,y
R3035306,9,4,2,2,60.0,y
R0010712,4,8,3,1,61.7,y
R3028190,5,6,3,1,60.7,y
R1054989,6,5,4,2,58.8,n
R0065595,10,8,4,2,59.1,n
R5048935,7,10,7,1,60.4,n
R2043379,0,4,3,2,58.8,n
R0127622,9,4,5,2,64.0,n
R1059191,2,1,4,1,61.5,n
R3090685,5,3,5,3,59.3,n
R2090489,6,8,5,1,57.5,n
R6020884,2,5,1,2,61.8,y
R4070807,2,2,7,2,61.9,n
R6035990,2,1,0,0,59.2,y
R5102939,0,6,5,2,61.5,n
R3043272,1,2,3,0,59.2,n
R0039436,10,5,3,1,58.7,n
R5122341,2,8,5,1,60.9,n
R0020470,8,6,1,1,55.7,y
R5101634,1,6,4,2,59.6,n
R5061396,3,4,0,0,59.4,y
R5048077,5,10,3,1,60.6,y
R4104926,9,2,4,3,59.2,n
R4100116,1,3,4,3,61.1,n
R1044740,1,8,4,0,58.2,y
R4032012,4,7,3,2,62.6,y
R0023360,10,7,0,1,60.0,y
R5060177,3,2,2,0,62.9,y
R5038444,1,5,1,2,61.4,n
R4030690,2,6,4,2,59.3,n
R3028471,7,6,2,0,62.0,y
R4044529,5,1,5,2,60.9,y
R3026681,0,8,4,0,61.1,n
R0034690,3,3,5,1,62.0,n
R5104158,8,10,4,2,58.6,n
R2024729,0,5,4,2,62.4,n
R1055710,5,7,2,2,60.4,y
R2038049,6,6,0,1,59.4,y
R4087355,10,8,4,1,60.8,n
R6036870,8,8,2,0,61.4,y
R1132798,9,4,6,4,59.1,n
R2056442,6,6,1,1,55.0,y
R3045469,4,3,3,1,60.6,n
R2052355,4,9,4,1,59.7,n
R1016296,4,3,2,2,60.6,y
R4075083,3,5,4,1,58.9,n
R2134458,4,10,8,3,60.8,n
R2114095,9,7,4,4,59.0,n
R4124340,0,8,5,5,60.7,n
R3051742,7,2,1,3,59.3,y
R3082173,7,5,5,2,60.7,n
R0017613,7,7,2,3,60.6,y
R1051526,3,5,3,2,56.9,y
R5057994,10,5,1,2,55.7,y
R6034981,7,6,0,2,59.8,y
R2016061,7,9,0,2,59.5,y
R2039941,1,8,4,0,60.9,y
R2034370,5,3,4,1,59.7,n
R3113613,6,9,4,3,60.2,n
R5030800,5,2,4,2,59.8,n
R4047990,5,10,3,2,61.7,y
R3109686,2,2,5,2,62.6,n
R1054220,7,8,0,0,60.7,y
R5040691,6,3,2,2,57.9,n
R0076969,0,5,4,0,57.5,n
R4029235,5,7,2,1,58.7,y
R5037926,5,2,2,1,61.5,y
R2033100,6,6,3,1,59.0,y
R2014479,9,5,2,3,61.8,y
R1048588,1,9,2,0,61.5,y
R0106056,1,7,4,2,62.4,n
R1053873,5,2,3,3,60.7,y
R1039353,10,1,4,3,63.5,y
R5019800,8,6,5,0,58.4,n
R3143281,9,7,4,2,57.5,n
R3132372,0,9,5,1,57.8,n
R2024418,6,7,3,0,61.4,y
R5045881,7,5,3,0,60.6,y
R0059383,8,9,0,0,58.9,y
R1026560,3,8,1,2,61.1,y
R0021837,4,1,3,0,60.5,y
R3029111,9,2,0,2,58.9,y
R0034186,2,6,2,3,60.6,y
R1041428,5,5,3,2,59.0,n
R0013615,6,5,3,3,60.1,y
R2014798,7,2,0,2,59.5,y
R3040453,8,5,3,3,65.1,n
R5053772,2,6,4,2,61.2,n
R0018937,5,2,4,0,58.6,n
R6012740,2,5,1,3,58.9,y
R3013556,7,6,2,2,59.6,y
R5052410,7,7,2,3,59.2,y
R5091966,4,10,4,2,62.6,n
R4115345,4,5,4,2,59.7,n
R6014975,6,2,0,3,59.8,y
R2039900,9,1,2,2,56.6,n
R0076168,7,3,4,1,61.8,n
R6044955,5,7,6,1,60.3,y
R3134058,8,9,4,2,58.8,n
R5059960,1,9,0,2,59.1,y
R4125910,0,1,4,2,61.4,n
R1086274,6,1,4,0,63.0,n
R4040765,4,7,0,1,58.9,n
R4011803,9,4,2,3,59.5,y
R5116074,9,4,4,1,57.9,n
R2027273,1,6,1,1,60.7,y
R4047712,7,5,4,0,59.6,n
R5025945,8,6,4,0,60.2,n
R1015636,5,8,0,2,58.0,y
R2063030,4,5,2,3,59.9,y
R0101125,1,5,4,2,56.3,n
R3042088,2,8,4,3,56.8,y
R2071986,6,9,4,1,57.4,n
R1020277,4,9,5,0,61.8,n
R4025776,10,4,2,1,59.7,y
R1079805,5,5,5,0,59.0,n
R4136577,1,7,6,2,57.7,n
R2031160,6,1,3,1,63.5,y
R0040879,1,8,3,1,59.8,n
R1129411,10,3,4,5,57.9,n
R5054853,6,2,3,2,58.9,y
R1057717,10,8,2,0,62.1,y
R1055583,4,7,1,3,59.5,y
R5050843,3,1,3,1,57.8,y
R2056373,3,6,4,1,57.3,n
R1063390,0,4,4,1,61.0,n
R2112564,1,2,4,2,59.8,n
R3036226,2,8,0,1,60.9,y
R5081220,10,8,4,3,62.6,n
R5108775,2,10,4,1,55.0,n
R5025178,4,6,4,3,60.6,n
R1045343,7,6,0,1,59.5,n
R2042518,10,3,4,2,61.4,y
R2052918,4,1,5,2,60.2,n
R3144864,9,4,4,2,57.9,n
R1080894,2,7,5,3,58.7,n
R1024094,7,9,3,2,58.3,y
R0016728,6,7,2,2,65.0,y
R2088575,9,5,4,1,62.1,n
R5036350,5,1,0,1,55.6,y
R4150059,0,6,5,2,60.5,n
R5020512,8,6,2,0,64.5,y
R5035539,4,7,5,3,56.5,n
R4136172,1,9,4,4,63.3,n
R4048731,6,5,0,2,58.7,y
R3042424,6,3,4,2,56.2,y
R4055087,3,4,3,2,62.3,y
R4089615,7,6,4,2,61.2,n
R2011409,4,4,3,3,63.1,y
R3113352,9,1,4,2,61.7,n
R1114846,2,8,5,2,60.8,n
R1031821,6,4,3,3,58.7,y
R5140102,0,5,5,2,60.7,n
R0021450,2,6,3,1,58.8,y
R1027312,7,2,1,2,57.2,y
R1078642,4,5,4,2,60.4,n
R5011183,7,7,0,2,61.1,y
R0145956,9,8,4,3,60.7,n
R1036580,5,1,0,3,63.3,y
R3050014,3,3,2,0,64.7,y
R2138954,1,7,5,2,58.7,n
R0054063,9,4,0,2,60.8,y
R5011703,9,9,0,3,59.3,y
R5035870,8,8,0,3,59.8,y
R3037891,10,6,0,1,58.2,y
R2038959,7,5,2,2,56.3,n
R2054351,5,8,3,1,56.9,y
R4029972,3,10,4,0,61.3,n
R4013472,4,7,0,2,61.9,y
R1037205,2,8,0,2,61.5,y
R2074857,3,6,4,2,58.9,n
R3083764,4,2,5,0,59.1,n
R6030760,5,9,3,1,59.3,y
R4095193,6,4,5,3,62.0,n
R1023725,2,9,3,2,62.1,y
R1051604,10,2,5,0,62.0,n
R5036430,5,8,1,3,61.6,y
R1089969,5,3,5,1,57.6,n
R2123723,6,7,4,4,57.3,n
R5018160,6,2,2,2,61.8,y
R3029492,4,3,4,2,61.8,n
R3046799,0,3,0,3,62.3,y
R2041015,1,8,0,1,61.8,n
R0081154,0,8,4,2,58.9,n
R2050307,2,9,2,3,58.9,y
R0076249,3,4,4,3,60.0,n
R4050681,8,4,3,2,63.0,y
R1031075,3,4,1,3,59.5,y
R3024369,9,8,0,2,61.9,y
R5092688,9,4,4,1,61.7,n
R6150154,5,3,4,4,62.7,n
R4032927,7,8,3,0,62.4,y
R5028802,5,8,4,1,61.2,n
R4106628,5,5,5,5,58.9,n
R5015539,4,9,2,2,60.9,y
R5103961,2,4,4,4,60.1,n
R1025643,4,8,0,0,61.3,y
R5055274,4,7,2,0,62.3,y
R5035127,4,9,4,0,61.7,n
R1015749,4,3,1,1,59.6,y
R4096348,2,3,4,3,58.4,n
R6061602,4,5,3,1,62.6,y
R3096479,9,1,5,2,61.1,n
R4050590,6,6,3,2,59.7,y
R1022684,0,9,2,1,58.9,y
R2129780,0,4,4,4,58.4,n
R0031473,1,7,2,3,62.2,y
R2049479,7,9,0,2,61.0,y
R4059035,8,7,3,0,61.3,y
R4136277,1,1,5,3,62.8,n
R5016165,2,7,0,0,65.6,y
R2047115,8,3,1,2,57.5,y
R3041841,3,9,2,3,58.9,n
R4038716,6,3,4,2,59.0,y
R0023243,6,7,2,3,63.0,y
R1047396,8,4,3,3,62.6,y
R0051201,1,6,3,0,62.1,y
R2037090,8,1,0,2,62.6,y
R0044410,5,2,3,0,59.8,n
R4061560,8,8,4,2,60.2,n
R0076322,6,2,4,3,60.0,n
R5118484,5,6,4,4,62.3,n
R3019636,3,2,0,2,61.3,y
R0086632,3,6,4,2,60.8,n
R1093232,7,10,5,2,59.5,n
R1039580,1,3,4,2,60.8,y
R1061779,6,6,4,0,61.2,n
R0150924,8,7,5,3,61.6,n
R1129171,1,9,4,2,62.3,n
R1022227,5,6,2,1,56.7,y
R4047087,2,5,4,1,60.1,n
R0013120,4,9,2,2,55.9,y
R3147942,2,7,4,3,61.0,n
R2024170,10,8,5,2,61.6,n
R6012664,3,3,5,1,57.7,n
R3036791,7,2,2,2,59.5,y
R1053978,2,4,4,1,61.3,n
R1062560,4,2,1,2,57.7,y
R0022342,1,7,3,1,60.3,y
R2021775,9,9,3,0,61.9,y
R5057125,2,9,3,3,61.1,y
R1071745,5,2,4,0,63.3,n
R5040067,2,1,4,2,59.2,y
R2021238,4,8,2,3,62.0,y
R4036612,4,1,1,3,61.1,y
R5134365,2,2,6,2,60.6,n
R0049598,5,6,2,2,58.3,y
R5069682,9,6,5,2,61.4,n
R3049035,2,5,2,1,57.3,y
R3012813,2,9,2,0,60.5,y
R5133353,1,8,4,2,57.0,n
R0105720,6,9,5,1,60.3,n
R4072634,5,3,5,1,61.3,n
R5077099,6,2,4,1,60.6,n
R6080176,3,5,4,1,61.9,n
R3065636,4,6,4,1,57.4,n
R5022922,4,2,2,3,60.8,y
R5044357,3,2,4,1,58.9,y
R5040282,9,4,0,1,59.8,n
R0103335,2,8,4,2,61.1,n
R4024928,8,4,3,0,59.5,y
R1086148,5,5,4,3,58.8,n
R5044651,3,8,4,0,57.9,y
R6041970,2,7,5,1,58.7,y
R1139618,1,2,4,3,62.3,n
R2044034,1,4,0,2,63.0,n
R4067821,5,8,5,1,58.0,n
R3012418,1,6,0,3,62.2,y
R1133066,9,8,4,4,61.1,n
R1021938,3,3,0,2,59.6,y
R4084585,7,6,4,1,60.9,n
R3045135,8,5,1,3,60.9,n
R3061221,7,4,0,1,62.2,y
R1052299,9,5,5,1,60.8,n
R4049905,8,8,0,2,64.7,y
R1097108,4,9,4,2,60.9,n
R3015973,8,4,0,1,59.8,y
R4135475,0,3,5,3,57.7,n
R0038149,2,5,3,3,57.5,y
R4124856,1,10,5,4,61.4,n
R2057451,8,7,4,2,57.5,n
R3054450,5,5,3,2,58.4,y
R2016494,2,8,0,0,59.9,y
R2057898,4,3,1,0,56.8,y
R1020094,0,9,0,2,60.4,y
R3058578,7,7,2,3,58.3,y
R5026005,6,7,4,1,59.5,n
R1062639,10,8,3,1,59.9,y
R1026135,2,5,4,2,62.5,n
R5070562,3,7,4,0,60.8,n
R4079640,6,5,5,3,57.8,n
R5041291,4,7,4,3,61.0,y
R4047241,3,4,2,3,59.4,y
R5126491,5,2,6,4,60.7,n
R3046403,10,1,1,1,56.4,y
R4023455,9,7,4,1,60.0,n
R1049187,3,9,0,3,59.0,y
R0086323,9,7,5,1,61.7,n
R6051484,2,2,2,0,59.2,y
R1119218,9,8,4,4,60.5,n
